State|Total Number Same As National Payment|Total Number Less Than National Payment
CA|5470|1740
GA|912|348
IA|700|268
LA|708|144
MA|548|104
PA|1428|312
VA|724|264
WA|568|348
DC|170|30
NC|836|460
SC|456|152
ID|208|108
MD|432|160
ND|172|72
SD|212|72
DE|144|30
ME|300|108
NE|496|92
NH|208|116
OH|1408|260
HI|80|80
MI|980|384
RI|112|20
VI|0|312
WI|972|388
NJ|372|32
AK|78|138
OK|712|184
AL|824|338
FL|1492|264
IL|1396|356
NM|212|136
IN|960|208
MN|588|256
TN|800|224
CO|1500|460
MO|804|292
MP|0|312
AR|488|116
OR|320|344
PR|148|80
AS|0|128
KS|668|136
MS|484|128
CT|680|90
MT|220|136
UT|288|76
VT|112|72
GU|0|312
NV|152|76
WV|304|148
TX|2156|292
KY|704|200
NY|1192|484
WY|128|88
AZ|590|406
